choice,gender,amount,freq,last,first,child,youth,cook,diy,art
no,male,151,4,1,4,1,0,0,0,0
no,male,310,6,1,6,0,0,0,1,0
no,female,260,18,1,18,0,0,1,0,0
no,male,88,8,2,16,0,0,2,0,0
no,male,51,28,2,36,0,0,0,0,0
no,female,166,12,1,12,0,0,1,0,0
no,male,38,12,1,12,0,1,0,0,0
no,male,96,12,1,12,0,0,0,0,0
no,female,124,2,4,22,0,1,1,2,0
no,male,223,8,4,20,1,1,2,0,0
no,male,118,16,1,16,0,0,0,0,0
no,male,116,26,1,26,0,0,0,0,0
no,male,154,8,7,24,3,0,2,0,1
no,male,82,16,1,16,1,0,0,0,0
no,female,296,24,6,42,0,1,3,2,0
no,female,177,2,1,2,1,0,0,0,0
no,male,86,8,1,8,0,0,0,1,0
no,male,202,12,1,12,1,0,0,0,0
no,male,78,26,1,26,0,0,0,1,0
no,male,70,12,1,12,0,1,0,0,0
no,male,192,12,1,12,0,0,1,0,0
no,female,288,16,2,22,0,0,1,1,0
no,male,131,14,2,22,1,0,1,0,0
no,male,113,36,2,42,1,0,1,0,0
no,female,190,18,1,18,0,0,0,1,0
no,male,93,12,1,12,0,0,1,0,0
no,male,59,18,2,22,0,1,0,0,1
no,female,96,12,4,28,2,1,0,0,0
no,female,82,12,2,20,2,0,0,0,0
no,female,255,16,1,16,0,0,0,1,0
no,male,76,32,2,40,0,1,0,1,0
no,female,70,6,1,6,0,0,0,0,1
no,male,180,16,2,18,0,1,0,0,1
no,female,106,8,1,8,1,0,0,0,0
no,female,268,10,2,18,1,0,0,0,1
no,male,274,14,2,16,0,0,1,0,1
no,male,59,8,2,14,1,0,1,0,0
no,male,141,2,1,2,1,0,0,0,0
no,female,219,10,1,10,1,0,0,0,0
no,female,156,2,1,2,1,0,0,0,0
no,male,153,8,1,8,0,0,0,0,1
no,male,244,12,1,12,0,0,1,0,0
no,male,144,16,1,16,0,0,1,0,0
no,male,312,22,4,32,4,0,0,0,0
no,male,81,4,3,10,0,0,1,0,1
no,male,97,12,2,18,0,0,1,0,0
no,male,147,34,2,36,1,0,1,0,0
no,male,367,18,8,40,2,1,3,0,0
no,male,169,10,1,10,0,0,1,0,0
no,male,261,10,2,18,0,0,1,1,0
